Route,avg(avail_score)
E,79.97863393642412
B,79.28243564204773
W,74.79586427022568
M,67.49070987090793
1,67.11189331839711
G,64.75883668220929
3,62.41631446516491
2,57.41119848107631
6,55.8670929745854
C,54.807498343053524
S,53.01279246004724
L,52.99291290091864
7,50.43072325884163
J,49.23697423141002
R,48.48871109642999
F,48.205621480058504
Q,47.87849218428163
Z,47.362175954365526
D,42.133869741624196
5,40.72331284991383
4,38.70477852006411
A,28.938622421924496
N,25.496457587007324
