Route,median(avail_score)
W,87.085959528014
1,83.43536626751457
E,73.9585185569316
C,72.71970736414366
B,71.38622752534118
3,70.32434694681356
S,66.88362398006014
G,65.6314749146128
R,62.87005922131483
M,57.54341303626053
L,57.179784712357794
6,56.05162782621894
4,55.457603248748214
Q,50.86991887292367
N,48.41433459940075
2,45.88001323697806
7,44.26108041146817
F,43.791714831871964
D,40.26119712445605
J,39.78927723555239
Z,39.66376879543829
A,37.86547256758398
5,36.07098385576744
